Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
605,830,122089,IR 19746-28-2-2::IRGC 78072-C1,78072,1991WS,0,1,2,3,2,3,2,,,020,020,,000,,,,3,,060,061,5,1,,1,,011,3,042,2,5,,7,3,010,1,020,5,1,061,060,3,041,1,060,2,1,5
606,850,122052,GANIGI::IRGC 48698-C1,48698,,9,2,4,2,3,3,1,,,,070,,070,,,,3,,060,061,3,1,,7,,011,3,082,3,9,,9,1,010,1,070,4,3,061,060,3,041,2,,2,1,5
607,859,122128,KAKANI 2::IRGC 13373-C1,13373,,0,1,2,2,2,3,2,,,,020,,000,,,,3,,060,061,5,1,,5,,011,3,020,3,9,,9,3,010,1,020,4,3,061,060,3,060,3,,2,1,5
608,865,122063,GOGO::IRGC 43390-C1,43390,,9,2,5,2,4,3,2,,,,087,,070,,,,3,,060,061,3,1,,3,,011,3,090,5,9,,9,1,070,1,080,4,3,061,063,3,084,5,,2,1,4
609,895,128388,MIUDO ROXO::IRGC 50517-1,50517,,0,2,4,2,4,3,2,,,,020,,000,,,,1,,060,060,1,1,,5,,011,3,020,1,9,,7,2,010,1,040,4,1,061,060,1,060,5,,2,1,9
610,896,127244,C 166-135::IRGC 50633-1,50633,,0,1,3,2,2,3,2,,,,080,,000,,,,3,,084,061,1,1,,5,,011,3,020,4,9,,7,3,010,1,020,4,3,061,063,1,060,1,,2,1,5
611,897,127443,ISWAR KORA::IRGC 50674-1,50674,,9,2,5,2,4,3,2,,,,020,,020,,,,3,,060,060,3,1,,5,,011,3,100,3,9,,9,3,010,1,020,4,3,061,060,3,041,5,,2,1,5
612,898,127635,MR 136-1::IRGC 50707-1,50707,,0,1,2,2,2,3,2,,,,080,,000,,,,3,,060,061,1,1,,1,,011,3,053,4,5,,9,3,010,1,020,4,3,061,060,1,060,1,,2,1,5
613,899,127370,FORTUNA BLANCO (SAN MARCOS)::IRGC 50764-1,50764,,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,020,4,9,,3,3,010,1,020,5,3,061,063,1,060,2,,2,1,5
614,900,128392,MONMINEUPLEU::IRGC 50873-1,50873,,0,2,4,2,3,3,2,,,,070,,000,,,,3,,060,060,1,1,,3,,011,3,042,3,9,,5,3,010,1,020,4,1,061,060,1,060,2,,2,1,5
615,901,127779,SAKAZELE (538)::IRGC 50880-1,50880,,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,060,1,1,,5,,011,3,042,4,9,,9,2,010,1,020,5,3,061,060,3,060,2,,2,1,5
616,902,127246,CAMPECHE A 79::IRGC 51102-1,51102,,0,1,4,3,3,3,2,,,,020,,000,,,,3,,060,060,1,1,,3,,011,3,020,2,5,,7,3,010,1,020,4,3,061,060,1,060,1,,2,1,5
617,903,127909,ZACATEPEC A 79::IRGC 51116-1,51116,,0,1,5,2,3,3,2,,,,020,,000,,,,2,,060,060,1,1,,3,,011,3,020,4,7,,9,1,010,1,020,4,3,061,060,3,060,3,,2,1,5
618,905,127680,NIRA PRIETO::IRGC 51145-1,51145,,0,2,4,2,3,3,2,,,,087,,000,,,,1,,060,061,1,1,,7,,011,3,090,1,9,,9,3,010,1,080,4,1,061,063,3,060,2,,2,1,5
619,906,128399,NALA::IRGC 51247-1,51247,,1,2,4,2,3,3,2,,,,020,,020,,,,3,,060,061,1,1,,3,,011,3,052,4,3,,5,2,010,1,020,4,3,061,063,1,060,1,,2,1,5
620,907,132321,ARC 18502::IRGC 51749-2,51749,,0,2,7,2,4,3,2,,,,010,,000,,,,3,,060,061,1,1,,3,,011,3,052,4,7,,9,3,010,1,020,4,3,061,060,3,041,5,,2,1,9
621,908,127161,ARC 18533::IRGC 51756-1,51756,,0,1,4,2,4,3,2,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,042,3,9,,9,3,010,1,020,4,3,061,060,3,041,3,,2,1,9
622,909,127653,NCS 102::IRGC 51854-1,51854,,0,1,4,2,3,3,2,,,,080,,000,,,,3,,080,080,3,1,,5,,084,3,020,4,9,,5,2,010,1,020,4,1,080,085,3,084,5,,2,1,5
623,910,127647,NAPDAI::IRGC 52009-1,52009,,0,2,4,2,3,3,1,,,,087,,000,,,,3,,060,060,1,1,,5,,011,3,020,3,9,,7,3,010,1,080,4,1,061,063,3,060,3,,2,1,1
624,911,128492,TUNAGANNAPNANG::IRGC 52046-1,52046,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,2,5,,7,2,010,1,020,4,3,061,060,3,041,3,,2,1,4
625,912,127209,BARAMANJ::IRGC 52067-1,52067,,0,1,6,2,3,3,2,,,,080,,000,,,,3,,060,061,3,1,,3,,011,3,020,2,5,,9,2,010,1,020,4,3,061,060,3,041,4,,2,1,5
626,914,127526,KODIA PHUL::IRGC 52168-1,52168,,9,1,5,2,3,3,2,,,,010,,020,,,,3,,060,061,1,1,,5,,011,3,042,4,5,,7,2,010,1,020,4,3,061,061,3,060,2,,2,1,3
627,915,128330,KALISAL::IRGC 52324-1,52324,1990WS,1,2,5,3,3,3,2,,,,087,,080,,,,3,,060,061,3,1,,3,,011,3,100,4,3,,9,3,010,1,080,5,1,061,060,5,041,4,060,2,1,5
628,916,127571,LOCAL BHAT::IRGC 52343-1,52343,,0,1,3,2,3,3,2,,,,087,,000,,,,3,,080,060,1,1,,3,,084,3,052,4,9,,5,3,010,1,080,3,3,061,063,3,080,6,,2,1,5
629,917,127916,ZINYA KOLAMBA::IRGC 52402-1,52402,,0,1,4,2,3,3,2,,,,020,,000,,,,3,,060,060,3,1,,7,,011,3,020,4,9,,7,3,010,1,020,5,1,061,063,3,041,5,,2,1,5
630,918,127211,BARI SUTAR::IRGC 52410-1,52410,1992WS,0,2,3,2,2,2,2,,,020,020,,000,,,,3,,060,061,5,1,,3,,011,3,020,2,5,,5,3,010,1,020,4,3,061,063,3,041,5,060,2,1,5
631,919,128268,CIPPI::IRGC 52415-1,52415,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,020,4,9,,7,3,070,1,020,3,3,061,060,1,060,3,,2,1,5
632,920,127528,KOLAMBA::IRGC 52456-1,52456,,0,1,4,2,2,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,054,4,9,,3,3,010,1,020,4,1,061,060,1,060,3,,2,1,5
633,921,128333,KARAHANI::IRGC 52664-1,52664,,1,1,3,3,3,2,2,,,,020,,020,,,,3,,060,060,3,1,,5,,011,3,100,4,9,,7,2,070,1,020,4,3,061,060,3,060,5,,2,1,5
634,923,127792,SELHI::IRGC 52760-1,52760,,0,1,3,2,3,3,2,,,,080,,000,,,,3,,081,080,1,1,,1,,080,3,080,5,7,,7,3,055,1,080,4,1,080,085,3,080,2,,2,5,7
635,924,127881,VAIKATHARYAN::IRGC 52805-1,52805,,0,1,4,2,2,3,2,,,,080,,000,,,,3,,060,061,1,1,,5,,011,3,054,3,7,,9,3,070,1,020,4,1,061,060,3,041,5,,2,1,7
636,925,127780,SALSI::IRGC 52833-1,52833,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,084,061,5,1,,5,,011,3,052,3,9,,5,3,010,1,020,5,1,061,060,1,041,3,,2,1,5
637,926,127499,KATSIYAM TABAO::IRGC 52855-1,52855,,0,1,4,2,3,3,3,,,,020,,000,,,,3,,060,061,3,1,,7,,011,3,020,2,7,,9,2,070,1,020,5,3,061,063,5,041,5,,2,1,4
638,927,128254,CARAWI::IRGC 52887-1,52887,1990WS,1,2,4,2,4,3,2,,,,020,,020,,,,3,,060,061,3,1,,5,,011,3,042,4,7,,9,3,010,1,020,4,3,061,060,3,041,2,060,2,1,5
639,928,128280,DINORADO::IRGC 52893-1,52893,,0,1,5,2,3,3,2,,,,020,,000,,,,1,,060,061,1,1,,3,,011,3,042,1,9,,9,3,010,1,020,4,3,061,060,5,041,1,,2,1,5
640,929,128372,MACAPAGAL::IRGC 52927-1,52927,,0,1,4,2,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,054,3,9,,9,3,010,1,020,3,3,061,060,1,060,2,,2,1,5
641,931,132397,CULALANSI::IRGC 53109-1,53109,,0,2,5,2,4,3,2,,,,070,,000,,,,3,,060,061,5,1,,5,,011,3,020,2,5,,5,1,010,2,020,3,3,061,060,3,041,5,,2,1,3
642,932,,BANGBANG::IRGC 53131-1,53131,1999WS,9,1,4,1,3,3,2,,,020,087,,070,,,,3,,084,080,5,1,,3,,084,3,020,4,7,,9,3,010,1,080,4,3,080,060,3,060,7,060,2,1,9
643,933,132004,KINTOMAN (TOD DOY)::IRGC 53146-1,53146,,9,1,3,2,3,4,2,,,,070,,070,,,,3,,060,060,3,1,,5,,011,3,020,3,7,,9,1,070,1,070,4,3,061,060,5,041,3,,2,1,5
644,934,128329,KALIPINCH::IRGC 53271-1,53271,,0,1,2,2,2,2,2,,,,080,,000,,,,3,,060,060,1,1,,5,,011,3,020,4,9,,3,2,010,1,020,4,1,061,060,3,041,5,,2,1,5
645,935,127489,KANPURI::IRGC 53278-1,53278,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,020,3,7,,3,2,010,1,020,3,3,061,060,3,060,5,,2,1,5
646,936,127572,LOCAL::IRGC 53300-1,53300,,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,053,3,9,,5,3,010,1,020,3,3,061,060,1,060,3,,2,1,5
647,938,127882,VANKALI::IRGC 53339-1,53339,,0,1,3,2,2,2,2,,,,020,,000,,,,3,,060,060,1,1,,5,,011,3,042,2,9,,7,3,010,1,020,3,1,061,060,1,060,1,,2,1,5
648,939,127742,PR 106::IRGC 53418-1,53418,1990WS,0,2,2,2,3,2,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,2,7,,5,3,010,1,020,5,1,061,063,1,060,1,060,2,1,5
649,940,127228,BINNAFUL::IRGC 53479-1,53479,,0,1,4,2,4,2,2,,,,070,,000,,,,3,,081,061,3,1,,3,,084,3,020,4,9,,7,3,070,1,020,4,3,061,060,3,080,1,,2,1,5
650,941,127234,BONGEZA::IRGC 53483-1,53483,,9,2,5,3,3,3,2,,,,020,,020,,,,3,,060,061,5,1,,5,,011,3,054,2,9,,9,2,070,1,020,4,3,061,060,5,060,1,,2,1,5
651,942,128244,BOTESHSHORE::IRGC 53484-1,53484,,0,1,3,1,2,2,1,,,,080,,000,,,,3,,081,061,3,1,,3,,084,3,020,2,9,,9,3,070,1,020,3,3,061,085,3,080,1,,2,1,5
652,945,135757,KHAGRAI DIGHA::IRGC 53529-3,53529,,9,1,5,3,3,2,2,,,,080,,080,,,,3,,081,080,3,1,,5,,084,3,054,2,7,,7,3,070,1,020,4,3,080,085,5,084,7,,2,1,5
653,948,127482,KALU T 139::IRGC 53670-1,53670,,0,2,4,2,3,3,2,,,,087,,000,,,,3,,081,080,1,1,,3,,011,3,090,2,5,,5,3,010,1,080,3,1,080,060,3,080,2,,2,1,5
654,949,127160,ARC 15480::IRGC 53799-1,53799,1994WS,0,2,6,2,3,3,2,,,020,020,,000,,,,3,,060,061,3,1,,3,,011,3,020,4,5,,7,3,010,1,020,4,3,061,060,3,041,1,060,2,5,5
655,950,127230,BIR BAHADUR::IRGC 53889-1,53889,,0,1,4,3,3,3,2,,,,080,,000,,,,3,,060,061,3,1,,3,,011,3,020,2,7,,9,3,010,1,020,4,1,061,060,3,080,3,,2,1,5
656,951,127813,SIRHANTI::IRGC 53930-1,53930,,7,1,4,2,3,2,2,,,,020,,020,,,,3,,060,061,1,1,,1,,011,3,100,4,7,,5,3,070,1,020,4,3,061,060,1,060,5,,2,1,5
657,952,127126,AR 133::IRGC 53942-1,53942,1990WS,0,2,3,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,2,5,,3,3,010,1,020,4,1,061,063,1,041,1,060,2,1,3
658,953,128317,IC 25690::IRGC 53973-1,53973,,0,2,5,2,3,3,2,,,,020,,000,,,,1,,060,060,1,1,,5,,011,3,020,1,7,,7,2,010,1,020,4,3,061,060,3,060,3,,2,1,5
659,954,128217,ANENOE::IRGC 54140-1,54140,,0,1,5,2,3,3,1,,,,020,,000,,,,1,,060,061,1,1,,5,,011,3,020,1,9,,7,2,010,1,020,5,3,061,063,1,060,4,,2,1,5
660,955,131969,BALU PRIA::IRGC 54158-1,54158,,9,2,4,2,3,3,2,,,,080,,080,,,,3,,084,061,5,1,,7,,011,3,020,3,7,,9,1,010,1,020,3,3,061,063,5,084,3,,2,1,6
661,956,135630,PADI ARA::IRGC 54252-2,54252,,9,2,7,2,4,3,2,,,,052,,052,,,,3,,060,061,3,1,,5,,011,3,042,4,9,,9,1,010,1,070,4,3,061,060,3,060,4,,2,1,3
662,957,132023,PADI HEDENG (REKET HEDENG)::IRGC 54266-1,54266,,9,2,6,2,4,4,2,,,,020,,020,,,,3,,060,061,3,1,,7,,011,3,020,4,9,,9,1,080,1,020,3,3,061,063,1,060,2,,2,1,5
663,959,132024,PADI UDANG::IRGC 54295-1,54295,,9,2,4,1,3,3,2,,,,080,,070,,,,3,,084,061,3,1,,7,,011,3,042,4,7,,9,1,010,1,020,4,3,061,060,3,084,4,,2,1,5
664,960,127816,SKK::IRGC 54356-1,54356,,0,2,5,3,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,020,4,9,,9,1,010,1,020,5,3,061,060,1,060,7,,2,1,5
665,961,127469,K 1074::IRGC 55017-1,55017,,0,2,5,2,4,3,2,,,,080,,000,,,,3,,060,061,3,1,,7,,011,3,054,4,9,,7,2,070,1,020,4,3,061,060,3,084,7,,2,1,7
666,962,127470,K 15591-4::IRGC 55043-1,55043,1990WS,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,3,,011,3,052,4,9,,5,3,010,2,020,5,1,061,063,1,041,1,060,2,1,3
667,963,127870,TV 30::IRGC 55221-1,55221,,0,1,3,2,2,3,1,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,3,9,,7,3,010,1,020,5,3,061,060,1,060,1,,2,1,5
668,964,127722,PAWNG AEW 1::IRGC 55263-1,55263,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,053,2,9,,7,3,010,1,020,4,3,061,060,5,060,3,,2,1,5
669,965,128382,MARANHAO BRANCO::IRGC 50503-1,50503,,0,1,4,2,3,3,2,,,,020,,000,,,,1,,060,061,3,1,,5,,011,3,020,1,9,,9,2,010,1,020,4,3,061,061,3,041,3,,2,1,5
670,966,132035,PRADOO DAENG::IRGC 55265-1,55265,,0,2,6,2,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,052,4,5,,9,3,010,1,020,4,3,061,060,9,041,9,,2,1,5
671,967,127102,A 69-1::IRGC 55305-1,55305,,1,1,3,2,2,3,2,,,,020,,020,,,,3,,060,060,1,1,,1,,011,3,020,2,9,,7,2,010,1,020,4,3,061,063,1,060,1,,2,1,5
672,968,127890,WAGASAN (RED)::IRGC 55404-1,55404,,0,2,4,2,3,3,2,,,,087,,000,,,,3,,060,061,5,1,,7,,011,3,090,3,9,,5,3,070,1,080,3,3,061,060,1,080,3,,2,1,7
673,969,127693,OYAK PAKANG::IRGC 55422-1,55422,,1,2,6,3,4,3,2,,,,020,,020,,,,3,,060,061,,1,,7,,011,3,020,2,9,,9,1,010,1,020,4,3,061,060,3,060,5,,2,1,9
674,970,127269,CHATO::IRGC 55825-1,55825,,0,1,3,2,2,3,1,,,,020,,000,,,,3,,060,061,1,1,,3,,011,3,020,2,9,,7,2,010,1,020,4,3,061,063,1,060,1,,2,1,5
675,971,128505,XINTUAN HEI GU::IRGC 56159-1,56159,,0,1,4,2,3,2,2,,,,080,,000,,,,3,,084,061,3,1,,5,,011,3,080,4,5,,9,2,070,1,080,4,3,061,060,3,060,3,,2,1,5
676,972,127106,ADIALLO::IRGC 56264-1,56264,1990WS,0,2,6,2,4,3,3,,,,020,,000,,,,3,,060,061,7,1,,5,,011,3,020,4,3,,9,3,010,1,020,4,3,061,060,7,041,4,060,2,1,5
677,973,132405,KOUINONEPOU::IRGC 56663-1,56663,,0,2,4,2,3,3,1,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,020,3,9,,7,1,010,1,020,4,3,061,060,3,041,5,,2,1,5
678,974,127319,DIAMBARANG::IRGC 56726-1,56726,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,020,2,9,,9,3,010,1,020,4,3,061,060,3,060,5,,2,1,5
679,975,128292,FOSSA (GBE)::IRGC 56767-1,56767,,0,2,4,2,3,3,1,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,020,5,9,,5,1,010,1,020,4,3,061,063,3,060,5,,2,1,5
680,976,128302,GOLO::IRGC 56856-1,56856,,0,2,4,2,3,3,2,,,,020,,000,,,,1,,060,061,3,1,,5,,011,3,020,1,9,,9,3,010,1,020,4,3,061,060,1,041,3,,2,1,5
681,977,127917,ZO::IRGC 56914-1,56914,,0,2,7,3,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,042,2,9,,5,3,010,1,020,4,3,061,060,1,060,3,,2,1,3
682,978,131993,JAO KHAO::IRGC 57046-1,57046,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,1,,011,3,053,2,5,,9,3,010,1,020,4,3,061,060,3,060,3,,2,1,5
683,979,132016,MARIA GAKIT::IRGC 57070-1,57070,,0,1,6,2,4,3,2,,,,070,,000,,,,3,,060,060,5,1,,7,,011,3,020,4,7,,9,3,070,1,020,4,3,061,060,5,041,3,,2,1,4
684,980,,NAHNG KHAO BOW::IRGC 57377-1,57377,,0,2,6,3,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,020,4,7,,5,1,010,1,020,3,3,061,061,5,041,8,,2,1,5
685,982,128502,WIR 2091::IRGC 57536-1,57536,,1,1,3,2,2,2,2,,,,020,,020,,,,3,,060,061,1,1,,5,,011,3,042,3,7,,9,2,070,1,020,4,3,061,063,1,060,3,,1,1,3
686,983,127446,J 6 IR 438 (WC 694)::IRGC 57599-1,57599,,0,2,5,2,3,2,2,,,,020,,000,,,,3,,060,061,1,2,,5,,011,3,020,2,7,,9,2,010,1,020,4,1,061,060,1,041,2,,2,1,5
687,984,127447,J 6 IR 520 (WC 693)::IRGC 57600-1,57600,,0,1,3,3,2,3,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,2,9,,9,2,010,1,020,4,1,061,063,1,060,1,,2,1,5
688,985,128475,SP 6 (WC 836)::IRGC 57602-1,57602,1992WS,0,2,3,1,3,3,2,,,052,070,,000,,,,2,,060,061,3,1,,5,,011,3,042,1,5,,7,3,010,1,020,4,3,061,063,1,041,1,060,2,1,5
689,986,128428,PATIE ROUGE::IRGC 57686-1,57686,,0,2,5,1,3,3,2,,,,052,,000,,,,3,,060,061,1,1,,5,,011,3,052,3,9,,9,1,010,1,020,4,3,061,063,1,060,2,,2,1,5
690,987,127410,HOE PHAR THAE::IRGC 57907-1,57907,1992WS,0,2,6,2,3,3,2,,,020,020,,000,,,,3,,060,061,5,2,,3,,011,3,020,4,5,,9,3,055,2,020,5,3,061,061,3,041,1,060,2,1,5
691,988,127231,BKN BR 1031-78-5-4::IRGC 55927-1,55927,,0,2,5,2,3,3,1,,,,080,,000,,,,3,,080,080,1,1,,1,,084,3,020,2,9,,9,2,010,1,020,5,3,080,060,1,060,1,,2,1,9
692,989,132402,KHAO KUM PAR::IRGC 57966-1,57966,,7,2,6,2,3,3,,,,,087,,080,,,,3,,080,080,7,1,,5,,084,3,080,4,3,,9,3,070,1,080,4,3,080,089,9,041,4,,2,1,9
693,990,127537,KYUN TAW SEIN::IRGC 58072-1,58072,1990WS,0,2,5,2,4,3,3,,,,020,,000,,,,3,,060,061,5,1,,5,,011,3,054,4,3,,7,3,010,1,020,2,1,061,060,7,041,6,060,2,1,5
694,992,127628,MOE GAUNG PYU::IRGC 58120-1,58120,,7,1,6,2,3,3,3,,,,020,,020,,,,3,,060,060,3,1,,3,,011,3,054,4,5,,7,2,010,1,020,3,3,061,060,7,060,8,,2,1,5
695,993,127672,NGA CHAN HMWE::IRGC 58146-1,58146,,0,1,6,2,4,3,2,,,,020,,000,,,,3,,060,061,5,1,,5,,011,3,020,2,5,,9,3,010,1,020,4,3,061,060,7,041,6,,2,1,5
696,995,127850,TAUNG LWIN::IRGC 58222-1,58222,,1,2,6,2,4,4,2,,,,020,,020,,,,3,,060,060,7,1,,5,,011,3,053,2,3,,3,3,010,1,020,4,3,061,060,7,041,3,,2,1,5
697,996,128483,TAUNGYA SABA::IRGC 58226-1,58226,,0,1,6,2,4,3,3,,,,052,,000,,,,3,,060,061,3,1,,5,,011,3,053,4,3,,7,2,010,1,020,3,3,061,060,7,060,7,,2,1,5
698,998,127437,IR 3839-1::IRGC 55946-1,55946,,0,1,3,2,2,2,1,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,2,9,,7,2,010,1,020,4,3,061,060,1,060,1,,2,1,5
699,999,132291,PA RABICHINA::IRGC 58609-1,58609,,0,2,6,2,4,3,2,,,,020,,000,,,,2,,060,061,3,1,,5,,011,3,054,4,3,,5,2,070,2,020,4,3,061,060,5,041,3,,2,1,3
700,1000,135578,PA WOON::IRGC 58656-1,58656,1990WS,0,2,5,2,3,3,3,,,,052,,000,,,,3,,060,061,5,1,,5,,011,3,054,4,3,,5,3,010,2,020,3,1,061,060,3,041,1,060,2,1,5
701,1001,132051,TUBMAN::IRGC 58682-1,58682,1992WS,0,2,6,2,3,3,2,,,020,020,,000,,,,3,,060,061,5,1,,5,,011,3,020,4,1,,9,3,010,1,020,4,3,061,060,3,041,4,060,2,1,5
702,1002,127390,GORIA::IRGC 58736-1,58736,,0,1,4,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,100,4,7,,9,2,070,1,020,5,1,061,063,3,041,5,,2,5,7
703,1003,127684,NULI::IRGC 58824-1,58824,,0,2,7,2,4,4,2,,,,080,,000,,,,2,,060,080,3,1,,1,,011,3,052,3,3,,9,2,070,1,020,4,3,080,063,3,080,5,,2,1,9
704,1004,128238,BANGLA::IRGC 58876-1,58876,1992WS,1,2,6,2,3,3,2,,,020,020,,020,,,,3,,060,061,5,1,,3,,011,3,042,2,9,,7,3,070,1,020,4,3,061,060,3,041,2,060,2,1,7
705,1005,127438,IR 4432-28-5::IRGC 55952-1,55952,,1,1,3,3,2,3,1,,,,020,,020,,,,3,,060,061,1,1,,1,,011,3,020,2,9,,9,3,010,1,020,4,3,061,060,1,060,1,,2,1,5
706,1006,127227,BIJULI BATI::IRGC 58917-1,58917,,0,1,6,2,4,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,020,2,5,,7,1,010,1,020,4,3,061,060,5,041,5,,2,1,3
707,1007,127400,HALIDA::IRGC 59005-1,59005,,1,2,7,2,4,4,2,,,,087,,080,,,,3,,081,080,1,1,,3,,084,3,090,3,5,,9,2,010,1,080,4,3,080,089,5,084,3,,2,3,5
708,1008,127536,KUSUM KATIKI::IRGC 59099-1,59099,1992WS,0,2,4,2,2,3,2,,,080,052,,000,,,,3,,060,061,5,1,,3,,011,3,054,4,5,,7,3,070,1,020,4,3,061,063,3,041,3,060,2,1,5
709,1009,,MOONOR::IRGC 59136-1,59136,1992WS,1,2,5,2,4,3,2,,,052,052,,020,,,,3,,060,061,5,1,,3,,011,3,052,4,5,,7,3,070,1,020,5,3,061,063,1,041,3,060,2,1,5
710,1010,127766,RATO BASMATI::IRGC 59205-1,59205,,1,1,7,2,4,3,2,,,,052,,070,,,,3,,060,060,3,1,,3,,011,3,082,4,5,,9,2,010,1,070,4,3,061,060,3,060,1,,2,1,5
711,1011,127789,SATHIYA::IRGC 59225-1,59225,,0,1,,2,3,3,3,,,,070,,000,,,,3,,084,080,3,1,,5,,084,3,020,4,7,,9,1,010,1,020,5,1,080,085,5,041,3,,2,1,9
712,1012,127383,GENG 77-4::IRGC 59321-1,59321,1990WS,0,2,2,3,2,3,2,,,,020,,000,,,,3,,060,061,1,2,,3,,011,3,053,4,7,,5,3,010,1,020,4,3,061,063,1,041,1,060,2,1,5
713,1013,128235,BAI MANG AI ZHONG::IRGC 59408-1,59408,,0,1,4,3,3,2,1,,,,020,,000,,,,3,,060,061,1,1,,3,,011,3,020,3,9,,9,1,010,1,020,4,3,061,060,1,060,5,,2,1,5
714,1014,127201,BAI MI TIE QIU::IRGC 59414-1,59414,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,054,2,9,,9,3,010,1,020,3,3,061,060,5,060,9,,2,1,5
715,1015,127379,GAO LIANG ZAO::IRGC 59563-1,59563,,5,1,5,3,3,3,2,,,,020,,020,,,,3,,060,060,5,1,,5,,011,3,020,4,3,,9,1,070,1,020,4,3,061,061,1,041,7,,2,1,9
716,1016,128307,HEI TOU HONG::IRGC 59595-1,59595,,0,1,3,3,2,2,2,,,,020,,000,,,,3,,060,060,1,1,,3,,011,3,020,3,9,,9,2,010,1,020,3,3,061,060,1,060,3,,2,1,5
717,1017,127415,HONG PI NUO::IRGC 59638-1,59638,,9,1,3,3,2,3,1,,,,052,,052,,,,3,,060,061,3,1,,5,,011,3,020,5,9,,9,1,070,1,020,4,1,061,063,3,084,3,,2,1,5
718,1018,127459,JIANG HUI DAO::IRGC 59688-1,59688,,0,1,4,3,3,2,1,,,,020,,000,,,,3,,060,060,3,1,,5,,011,3,020,4,3,,9,2,010,1,020,4,3,061,060,3,060,5,,2,1,5
719,1019,127551,LANG QIAN CHE::IRGC 59730-1,59730,,0,1,5,2,4,3,2,,,,020,,000,,,,3,,060,061,5,1,,1,,011,3,020,4,7,,9,3,070,1,020,4,3,061,060,1,041,9,,2,1,9
720,1020,128370,LUAN DAO::IRGC 59762-1,59762,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,053,5,9,,9,2,010,1,020,3,3,061,060,1,060,5,,2,1,5
721,1021,127797,SHAN GU::IRGC 59870-1,59870,,0,1,4,3,3,2,2,,,,020,,000,,,,3,,060,060,3,1,,3,,011,3,053,4,3,,7,3,010,1,020,4,1,061,060,1,041,3,,2,1,7
722,1022,127840,TAI ZHOU XIAN::IRGC 59912-1,59912,,0,1,3,3,3,3,2,,,,020,,000,,,,3,,060,060,1,1,,5,,011,3,053,4,3,,9,1,010,1,020,4,3,061,060,1,060,3,,2,1,5
723,1023,128499,WAN GENG BAI DAO TOU::IRGC 59948-1,59948,,0,1,3,3,2,3,2,,,,020,,000,,,,3,,060,060,1,1,,3,,011,3,053,5,9,,7,3,010,1,020,4,1,061,060,1,060,3,,2,1,5
