Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
26,41,126007,SOM NGHE AN::IRGC 60751-1,60751,,0,1,6,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,020,4,7,,9,2,010,1,020,4,3,061,060,3,060,5,,2,1,5
27,42,125854,NCS 964 C::IRGC 62604-1,62604,,0,1,5,2,3,3,2,,,,052,,000,,,,2,,060,060,3,1,,3,,011,3,054,2,5,,7,3,010,1,020,5,3,061,060,3,041,2,,2,1,5
28,43,125863,O. SATIVA::IRGC 17083-1,17083,,0,1,3,2,3,3,1,,,,010,,000,,,,3,,060,060,3,2,,5,,011,,020,,9,,9,2,010,,020,4,3,061,063,7,060,,,,,1
29,44,126989,PUTTU NELLU::IRGC 55346-1,55346,1992WS,1,2,5,2,4,3,2,,,020,052,,020,,,,3,,060,061,3,2,,3,,011,3,042,4,3,,7,3,010,1,020,4,3,061,060,3,041,1,060,2,1,5
30,45,126113,68-2::IRGC 14546-1,14546,,0,1,1,2,2,2,1,,,,020,,000,,,,3,,060,061,1,1,,7,,011,3,020,5,7,,7,2,010,1,020,4,3,061,060,1,060,1,,2,1,5
31,46,121541,WIR 1072::IRGC 57496-1,57496,,9,1,2,2,2,2,2,,,,020,,020,,,,3,,084,080,1,1,,5,,084,3,020,5,7,,9,1,010,1,020,5,3,080,085,3,060,3,,2,1,5
32,47,121501,SHINCHIKU IKU 103::IRGC 10430-1,10430,,0,1,4,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,1,,011,,020,,9,,9,2,010,,020,4,3,061,063,1,060,,,,,1
33,48,121249,AMARELO::IRGC 9389-1,9389,,5,1,1,2,2,2,1,,,,010,,020,,,,3,,060,060,1,1,,5,,011,,042,,9,,9,1,010,,,4,5,061,063,1,060,,,,,1
34,49,121474,POENOET HITAM::IRGC 8193-1,8193,,5,2,5,2,4,3,2,,,,080,,080,,,,3,,084,060,1,2,,5,,011,,020,,9,,9,2,010,,020,3,3,061,060,9,080,,,,,1
35,50,117535,NABESHI::IRGC 8269-1,8269,,0,2,3,2,3,3,1,,,,070,,000,,,,3,,060,060,1,1,,5,,011,,042,,1,,9,2,010,,,4,5,061,060,1,060,,,,,5
36,51,125936,WANICA::IRGC 3394-1,3394,,0,2,5,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,5,,011,,042,,9,,9,1,010,,,4,3,061,060,1,060,,,,,1
